subj_idx,area_size,rt,stim,response,rating,mean_rating,rating_diff
0,4,0.2766608214387815,1,1,47.70000000000001,28.914285714285715,18.785714285714295
0,4,0.381542211100168,1,1,48.2,28.914285714285715,19.28571428571429
0,5,0.2931809816000168,1,1,42.80000000000001,26.96923076923077,15.830769230769242
0,3,0.4722381214378401,1,1,41.0,21.826666666666668,19.173333333333332
0,3,0.4235794682699634,1,1,28.300000000000004,21.826666666666668,6.473333333333336
0,2,0.3687835167747835,1,1,26.0,18.246666666666666,7.753333333333334
0,1,0.7418974132779113,1,1,21.099999999999987,17.586666666666666,3.513333333333321
0,2,0.4362579066892067,1,1,49.0,18.246666666666666,30.753333333333334
0,4,0.3553083061833604,1,1,56.1,28.914285714285715,27.185714285714287
0,5,0.3659018383659713,1,1,42.50000000000001,26.96923076923077,15.530769230769238
